,Power
2018-06-09 04:00:00,70.78
2018-06-09 04:15:00,72.14
2018-06-09 04:30:00,71.75
2018-06-09 04:45:00,70.56
2018-06-09 05:00:00,69.59
2018-06-09 05:15:00,70.02
2018-06-09 05:30:00,71.6
2018-06-09 05:45:00,71.78
2018-06-09 06:00:00,71.64
2018-06-09 06:15:00,71.57
2018-06-09 06:30:00,70.81
2018-06-09 06:45:00,71.96
2018-06-09 07:00:00,72.18
2018-06-09 07:15:00,72.14
2018-06-09 07:30:00,72.94
2018-06-09 07:45:00,72.61
2018-06-09 08:00:00,72.07
2018-06-09 08:15:00,72.0
2018-06-09 08:30:00,69.3
2018-06-09 08:45:00,68.69
2018-06-09 09:00:00,69.73
2018-06-09 09:15:00,71.32
2018-06-09 09:30:00,70.34
2018-06-09 09:45:00,70.09
2018-06-09 10:00:00,70.85
2018-06-09 10:15:00,67.54
2018-06-09 10:30:00,68.62
2018-06-09 10:45:00,68.15
2018-06-09 11:00:00,68.51
2018-06-09 11:15:00,67.86
2018-06-09 11:30:00,69.12
2018-06-09 11:45:00,67.9
2018-06-09 12:00:00,69.23
2018-06-09 12:15:00,69.12
2018-06-09 12:30:00,69.26
2018-06-09 12:45:00,68.8
2018-06-09 13:00:00,67.79
2018-06-09 13:15:00,68.9
